y,d,dx_star,dz_star,Kxx,Kxz,Kzx,Kzz
22375,61.5625,0.934041872621634,0.10477974489619142,2102.735493643692,351.8244738987423,351.8244738987423,18118.60767098539
22400,61.5,0.9342023245223284,0.10450048971853174,2102.431215766799,353.643050845562,353.643050845562,18158.55881637472
22425,61.4375,0.9343644217605084,0.10422125837602379,2102.123916131753,355.47381873327913,355.47381873327913,18198.65934508636
22450,61.375,0.9345281569262904,0.10394205049765401,2101.813620985037,357.3168710388769,357.3168710388769,18238.910016959657
22475,61.3125,0.9346935222504674,0.10366286571820109,2101.5003574523143,359.1723018917106,359.1723018917106,18279.31159641456
22500,61.25,0.9348605095952431,0.1033837036787366,2101.184153557375,361.04020607319427,361.04020607319427,18319.864852477494
22525,61.1875,0.9350291104448657,0.10310456402677466,2100.8650382415426,362.9206790163191,362.9206790163191,18360.570558807256
22550,61.125,0.9351993158959898,0.10282544641672539,2100.543041383449,364.81381680493104,364.81381680493104,18401.429493720814
22575,61.0625,0.9353711166476998,0.10254635051018303,2100.2181938193094,366.71971617270634,366.71971617270634,18442.4424402191
22600,61.0,0.9355445029914286,0.10226727597633116,2099.8905273636447,368.638474501953,368.638474501953,18483.610186012625
22625,60.9375,0.9357194648006087,0.10198822249227685,2099.560074830452,370.5701898221467,370.5701898221467,18524.93352354715
22650,60.875,0.9358959915199433,0.10170918974350288,2099.2268700548607,372.5149608081109,372.5149608081109,18566.413250029138
22675,60.8125,0.9360740721545019,0.10143017742415086,2098.8909479153162,374.47288677799327,374.47288677799327,18608.05016745121
22700,60.75,0.9362536952585759,0.1011511852375758,2098.5523443562292,376.4440676909159,376.4440676909159,18649.845082617376
22725,60.6875,0.9364348489240961,0.10087221289661132,2098.211096411149,378.4286041442915,378.4286041442915,18691.798807168252
22750,60.625,0.9366175207690114,0.10059326012418089,2097.867242226531,380.42659737087695,380.42659737087695,18733.91215760602
22775,60.5625,0.9368016979250963,0.10031432665357727,2097.520821085948,382.43814923541714,382.43814923541714,18776.18595531935
22800,60.5,0.9369873670256494,0.10003541222908172,2097.1718734349965,384.4633622309794,384.4633622309794,18818.621026608034
22825,60.4375,0.9371745141927742,0.09975651660636797,2096.8204409066475,386.5023394749165,386.5023394749165,18861.21820270753
22850,60.375,0.9373631250244164,0.09947763955297251,2096.4665663472924,388.555184704463,388.555184704463,18903.978319813243
22875,60.3125,0.9375531845809675,0.09919878084886635,2096.1102938433587,390.622002271879,390.622002271879,18946.902219104664
22900,60.25,0.9377446773716185,0.0989199402869966,2095.7516687485877,392.7028971392564,392.7028971392564,18989.990746769137
22925,60.1875,0.9379375873403349,0.09864111767380127,2095.390737711894,394.79797487283827,394.79797487283827,19033.244754025567
22950,60.125,0.9381318978514377,0.09836231282972019,2095.0275487059557,396.907341636925,396.907341636925,19076.66509714769
22975,60.0625,0.9383275916748706,0.09808352558988777,2094.662151056462,399.031104187286,399.031104187286,19120.25263748712
23000,60.0,0.9385246509710314,0.09780475580470359,2094.2945954720917,401.1693698641267,401.1693698641267,19164.00824149612
23025,59.9375,0.9387230572752744,0.09752600334037724,2093.9249340751303,403.3222465845025,403.3222465845025,19207.932780749983
23050,59.875,0.9389227914819119,0.09724726807968855,2093.5532204329506,405.4898428342398,405.4898428342398,19252.027131969055
23075,59.8125,0.9391238338279015,0.09696854992254214,2093.1795095901803,407.6722676593047,407.6722676593047,19296.29217704049
23100,59.75,0.9393261638760948,0.09668984878674944,2092.8038581016776,409.8696306566289,409.8696306566289,19340.72880303945
23125,59.6875,0.9395297604979816,0.09641116460864543,2092.426324066316,412.0820419642874,412.0820419642874,19385.337902249983
23150,59.625,0.9397346018559782,0.09613249734389037,2092.046967161626,414.30961225109223,414.30961225109223,19430.12037218542
23175,59.5625,0.9399406653854039,0.09585384696817321,2091.665848679265,416.55245270558817,416.55245270558817,19475.077115608296
23200,59.5,0.9401479277757826,0.09557521347801479,2091.283031561403,418.8106750243241,418.8106750243241,19520.209040549755
23225,59.4375,0.9403563649517808,0.0952965968915577,2090.8985804379895,421.08439139944596,421.08439139944596,19565.517060328402
23250,59.375,0.9405659520535469,0.0950179972493926,2090.5125616649993,423.37371450560073,423.37371450560073,19611.002093568644
23275,59.3125,0.9407766634167017,0.09473941461543879,2090.1250433636073,425.67875748608634,425.67875748608634,19656.665064218334
23300,59.25,0.9409884725515122,0.09446084907778719,2089.736095460411,427.9996339381724,427.9996339381724,19702.50690156588
23325,59.1875,0.9412013521217567,0.09418230074961473,2089.345789728628,430.3364578976836,430.3364578976836,19748.528540256582
23350,59.125,0.9414152739229619,0.09390376977017828,2088.9541998303985,432.68934382272323,432.68934382272323,19794.73092030834
23375,59.0625,0.941630208859983,0.09362525630569979,2088.561401360167,435.0584065764989,435.0584065764989,19841.11498712655
23400,59.0,0.9418461269240113,0.09334676055044573,2088.167471889194,437.44376140925147,437.44376140925147,19887.68169151824
23425,58.9375,0.9420629971690135,0.09306828272771592,2087.7724910112265,439.8455239392612,439.8455239392612,19934.431989705354
23450,58.875,0.942280787687433,0.09278982309088961,2087.3765403894013,442.26381013283225,442.26381013283225,19981.366843337182
23475,58.8125,0.9424994655853798,0.09251138192461278,2086.9797038043494,444.698736283327,444.698736283327,20028.48721950182
23500,58.75,0.9427189969569373,0.09223295954585214,2086.5820672036157,447.15041898904417,447.15041898904417,20075.794090736676
